positionName,company,location,min_salary,max_salary,skills,skill_categories,skills_count_single
"Senior Data Scientist, Research, YouTube Search",Google,"San Bruno, CA",166000.0,244000.0,"['python', 'r', 'statistics', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 2, 4, 5, 10, 10, 10]","[2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
Senior AI Engineer - Data Scientist,BAXTER,"Milwaukee, WI 53214",112000.0,154000.0,"['python', 'scala', 'optimization', 'machine learning', 'generative ai', 'data science', 'predictive modeling', 'spark', 'databricks', 'azure', 'tableau', 'power bi', 'data visualization', 'hipaa']","[0, 0, 1, 2, 2, 2, 2, 4, 4, 6, 7, 7, 7, 10]","[2.0, 1.0, 4.0, 0.0, 2.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0]"
"Audio Software Engineer, Applied Scientist",Meta,"Redmond, WA",146993.6,146993.6,"['c', 'c++', 'machine learning', 'generative ai', 'artificial intelligence', 'physics', 'audio signal processing', 'signal processing']","[0, 0, 2, 2, 2, 10, 10, 10]","[2.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
"Software Engineer, Machine Learning",Meta,"Bellevue, WA 98005",203350.0,240240.0,"['python', 'java', 'c', 'c#', 'c++', 'haskell', 'php', 'perl', 'shell scripting', 'shell scripts', 'unix', 'linux', 'classification', 'regression', 'optimization', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'recommendation systems', 'data mining', 'tensorflow', 'pytorch', 'mxnet', 'spark', 'hadoop', 'pig', 'mapreduce', 'sql', 'bigtable', 'hbase', 'git', 'physics', 'computer graphics']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 10, 10]","[12.0, 3.0, 6.0, 3.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 2.0]"
AI / Machine Learning Research Engineer (early career),Lockheed Martin,"Shelton, CT 06484",141767.40266666666,236245.72,"['python', 'c', 'c++', 'go', 'linux', 'machine learning', 'deep learning', 'computer vision', 'artificial intelligence', 'pytorch', 'scikit', 'numpy', 'pandas', 'opencv', 'kafka', 'docker', 'git', 'model deployment', 'grpc', 'high-performance computing', 'cuda', 'intel oneapi', 'nvidia tensorrt', 'triton inference server', 'onnxruntime', 'security', 'physics']","[0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 6, 6, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10]","[5.0, 0.0, 4.0, 5.0, 1.0, 0.0, 2.0, 0.0, 2.0, 6.0, 2.0]"
"Staff Data Scientist, Research, Search Platforms",Google,"Cambridge, MA",197000.0,291000.0,"['python', 'r', 'statistics', 'optimization', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 1, 2, 4, 5, 10, 10, 10]","[2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
"Applied AI/ML, Senior Associate - Gen AI & LLM",JPMorganChase,"Jacksonville, FL 32256",128250.0,195000.0,"['python', 'r', 'machine learning', 'generative ai', 'large language models', 'llm', 'ai/ml', 'ai/ml development', 'data science', 'finance', 'data governance', 'communication skills']","[0, 0, 2, 2, 2, 2, 2, 2, 2, 10, 10, 10]","[2.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
"Executive Director, ML and Ad Marketplace",Comcast Corporation,"San Francisco, CA 94108",293755.64,459791.43,"['optimization', 'machine learning', 'artificial intelligence', 'data science', 'data infrastructure', 'data modeling']","[1, 2, 2, 2, 4, 5]","[0.0, 1.0, 3.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AI/ML Engineer,Riverside Research Institute,"Beavercreek, OH 45431",70000.0,120000.0,"['python', 'optimization', 'stochastic simulation', 'machine learning', 'computer vision', 'multi-modal ai/ml', 'ai/ml', 'artificial intelligence', 'tensorflow', 'high-performance computing', 'sociology', 'security', 'communication skills', 'physics', 'signal processing']","[0, 1, 1, 2, 2, 2, 2, 2, 3, 9, 10, 10, 10, 10, 10]","[1.0, 2.0, 5.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 5.0]"
Senior Software Engineer - AI/ML,Mayo Clinic,"Rochester, MN 55901",138257.6,200512.0,"['java', 'c', 'c#', 'c++', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'generative ai', 'large language models', 'llm', 'ai/ml', 'artificial intelligence', 'ai engineering', 'data science', 'data engineering', 'aws', 'azure', 'gcp', 'sagemaker', 'azure ml', 'vertex ai', 'gcp vertex ai', 'compliance', 'security', 'communication skills']","[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 6, 6, 6, 6, 6, 6, 6, 10, 10, 10]","[4.0, 0.0, 11.0, 0.0, 1.0, 0.0, 7.0, 0.0, 0.0, 0.0, 3.0]"
