,positionName
0,"Senior Data Scientist, Research, YouTube Search"
1,Senior AI Engineer - Data Scientist
2,"Audio Software Engineer, Applied Scientist"
3,"Software Engineer, Machine Learning"
4,AI / Machine Learning Research Engineer (early career)
5,"Staff Data Scientist, Research, Search Platforms"
6,"Applied AI/ML, Senior Associate - Gen AI & LLM"
7,"Executive Director, ML and Ad Marketplace"
8,AI/ML Engineer
9,Senior Software Engineer - AI/ML
10,"Staff Fullstack Software Engineer, AI Document Generation"
11,Machine Learning Data Acquisition Scientist (Ph.D.)
12,"Research Engineer, Speech & Language - Generative AI"
13,Sustainment Digital Tools & Engineering AI/ML Engineer Sr
14,Applied AI Architect
15,Senior Data Science Analyst - Remote
16,Senior Data Analyst - Assortment Analytics
17,"Data Scientist, RPA"
18,Part-Time AI Software Engineer Sr
19,Machine Learning Scientist
20,Data Scientist - Top Secret/SCI
21,Senior AI/ML SW & Sys Architect
22,Machine Learning Scientist II/Sr (Biomedical Images)
23,Data Scientist
24,Lead Data Scientist (AI/ML)
25,Data Scientist III
26,Senior Data Scientist
27,AI Operations Specialist - Healthcare
28,Senior Data Science Engineer (Onsite)
29,"Data Scientist-Robotics, Performance & Insights"
30,Machine Learning Engineer
31,"Data Literacy Lead-Data Solutions (San Antonio, Austin and Dallas)"
32,Artificial Intelligence Machine Learning 3- TS/SCI w/poly clearance required
33,AI developer advisor
34,"AI Researcher, Handshake AI"
35,"Prompt Engineer, Handshake AI"
36,"Staff Backend Software Engineer, AI Document Generation"
37,"Senior Software Engineer, Machine Learning, Infra & Eval"
38,"Lead Data Scientist, Research, Multimodal Search"
39,Palantir Data Scientist
40,"(USA) Senior Manager, Data Science"
41,"Language Data Scientist III , AWS Q for Business"
42,Data Scientist 3 - TS/SCI w/poly clearance required
43,"Sr Software Dev Engineer, AI, Storm Design System"
44,Mid-Level Data Scientist / Quant - Risk & Trading
45,Cyber Defense – Mid-Level Data Scientist/Analyst (AI/Automation)
46,"Research Engineer, Handshake AI"
47,AI & Data Manager - Life Sciences R&D (CMC)
48,Data Scientist
49,"Staff, Data Scientist"
50,Data Analyst Senior or Lead
51,"Prompt Engineer, Handshake AI"
52,Machine Learning Scientist II/Sr (Omics)
53,"Software Engineering Manager II, AI/ML, Google Workspace"
54,AI & Data Manager - Life Sciences R&D (CMC)
55,GenAI Technology Lead - (Hybrid)
56,Data Scientist (Predictive)
57,Senior Clinical Data Scientist
58,Azure AI Security Senior Consultant
59,Head of Data & AI
60,"Senior Delivery Consultant- GenAI/ML, AWS, Industries"
61,"Analyst, Talent Analytics (Machine Learning)"
62,AI Platform Engineer (Remote)
63,Data Scientist (Generative AI)
64,"Data Scientist Analyst Stf / Orlando, FL"
65,Lead - Advanced Analytics
66,Senior/Lead Machine Learning Engineer
67,Senior AI Workflow Engineer
68,Sr. Data Analyst
69,"Principal, AI Data Scientist (Remote)"
70,Principal Machine Learning Engineer
71,Data Scientist Sr - Missionary Dept.
72,Staff AI Researcher
73,Data Scientist Manager
74,Data Scientist Quality Engineer
75,AI Developer
76,Senior Customer Data Analyst
77,Principal Data Scientist
78,Machine Learning Software Engineering Manager
79,Product Analyst - GenAI
80,"Sr. Data Scientist, ART19"
81,"Sr. Data Scientist, ART19"
82,"Applied Scientist I, Buyer Abuse Prevention"
83,Decision Scientist
84,ML Engineer
85,Senior Data Processing Platform Engineer
86,Head of AI Solutions
87,"Software Development Engineer II, Measurement, Ad Tech, and Data Science (MADS)"
88,"Manager, Machine Learning Operations"
89,Data Consultant
90,Data Scientist
91,Data Scientist
92,"Applied Scientist I, Buyer Abuse Prevention"
93,"Software Engineer, Machine Learning â€“ Engineering Systems and AI Research"
94,RESEARCH STATISTICIAN III
95,"Co-op, Flight Operations Crew Resources - Pilot Pay Experience & Analytics (Fall 2025)"
96,"Principal Portfolio Lead, Statistical Programming - Oncology"
97,Machine Learning Engineer - CV/NLP/Multimodal LLM (TikTok Trust and Safety) - 2026 Start(PHD)
98,Data Scientist
99,AI ML Engineer (Senior)
100,AI Infrastructure Engineer
101,AI (Artificial Intelligence) Engineer
102,"Data Scientist, Lead"
103,"Senior Manager, Data Science & Analytics"
104,"Associate Director, AI Data Scientist"
105,Data Scientist Virginia
106,SENIOR WEBSITE DATA ANALYST
107,Azure AI Security Senior Consultant
108,Principal Data Scientist
109,Senior Data Analyst
110,Amazon Robotics - Data Scientist Co-op - 2025
111,"Applied AI/ML, Senior Associate - Gen AI & LLM"
112,Senior Data Scientist - Finance
113,Senior Data & AI Engineer - Knowledge Graphs & GCP
114,Applied AI/ML - Vice President
115,Machine Learning Engineer - Vice President
116,"Deep Learning Architect, Generative AI Innovation Center"
117,Machine Learning Engineer - Vice President
118,"Senior Applied Scientist, Agentic AI Professional Services Experience"
119,Senior Business/Data Analyst
120,Lead Data Scientist & Deputy Program Manager
121,"Associate Director, Analytical AI Forecasting and Predictive Solutions"
122,Data Visualization Subject Matter Expert (SME)
123,Full Stack AI Engineer - Senior Consultant II
124,Senior Data Analyst
125,"Senior Data Scientist, Servicing"
126,"Senior Applied Scientist, Geographic Targeting"
127,AI Data Engineer - On-site or Hybrid Opportunity
128,AI Solutions Architect
129,Director of Data Platform and AI - Hybrid or Remote Opportunity
130,Senior Data Analyst
131,"Vice President, Data Science"
